path,file_name,stem,extension,bucket,family,width,height,status
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__11.png,food-stickers-fruit-snacks-combos-v1__11.png,food-stickers-fruit-snacks-combos-v1__11,.png,cutout,food,216,218,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__12.png,food-stickers-fruit-snacks-combos-v1__12.png,food-stickers-fruit-snacks-combos-v1__12,.png,cutout,food,204,189,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__13.png,food-stickers-fruit-snacks-combos-v1__13.png,food-stickers-fruit-snacks-combos-v1__13,.png,cutout,food,230,227,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__14.png,food-stickers-fruit-snacks-combos-v1__14.png,food-stickers-fruit-snacks-combos-v1__14,.png,cutout,food,213,209,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__15.png,food-stickers-fruit-snacks-combos-v1__15.png,food-stickers-fruit-snacks-combos-v1__15,.png,cutout,food,221,214,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__16.png,food-stickers-fruit-snacks-combos-v1__16.png,food-stickers-fruit-snacks-combos-v1__16,.png,cutout,food,186,216,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__17.png,food-stickers-fruit-snacks-combos-v1__17.png,food-stickers-fruit-snacks-combos-v1__17,.png,cutout,food,219,199,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__18.png,food-stickers-fruit-snacks-combos-v1__18.png,food-stickers-fruit-snacks-combos-v1__18,.png,cutout,food,243,203,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__19.png,food-stickers-fruit-snacks-combos-v1__19.png,food-stickers-fruit-snacks-combos-v1__19,.png,cutout,food,252,215,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__20.png,food-stickers-fruit-snacks-combos-v1__20.png,food-stickers-fruit-snacks-combos-v1__20,.png,cutout,food,805,448,derived
assets/derived/cutouts/food-stickers-fruit-snacks-combos-v1/food-stickers-fruit-snacks-combos-v1__21.png,food-stickers-fruit-snacks-combos-v1__21.png,food-stickers-fruit-snacks-combos-v1__21,.png,cutout,food,260,229,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__01.png,food-stickers-staples-protein-veg-v1__01.png,food-stickers-staples-protein-veg-v1__01,.png,cutout,food,258,237,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__02.png,food-stickers-staples-protein-veg-v1__02.png,food-stickers-staples-protein-veg-v1__02,.png,cutout,food,294,269,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__03.png,food-stickers-staples-protein-veg-v1__03.png,food-stickers-staples-protein-veg-v1__03,.png,cutout,food,246,241,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__04.png,food-stickers-staples-protein-veg-v1__04.png,food-stickers-staples-protein-veg-v1__04,.png,cutout,food,259,242,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__05.png,food-stickers-staples-protein-veg-v1__05.png,food-stickers-staples-protein-veg-v1__05,.png,cutout,food,236,216,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__06.png,food-stickers-staples-protein-veg-v1__06.png,food-stickers-staples-protein-veg-v1__06,.png,cutout,food,269,256,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__07.png,food-stickers-staples-protein-veg-v1__07.png,food-stickers-staples-protein-veg-v1__07,.png,cutout,food,259,247,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__08.png,food-stickers-staples-protein-veg-v1__08.png,food-stickers-staples-protein-veg-v1__08,.png,cutout,food,270,238,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__09.png,food-stickers-staples-protein-veg-v1__09.png,food-stickers-staples-protein-veg-v1__09,.png,cutout,food,239,234,derived
